date;myfee0;myfee1;feeV;fgV;feeusd;ActiveLiq;amountV;amountunb;amountVlast;S1%;unb%;multiplier;feeunb
2025-09-11;0.0;0.0;0.0;0.0;0.0;0.0;1000000000000.0;1.3216040425817396e-10;1000000000000.0;0.0;0.0;;0.0
2025-09-12;0.0;0.0;0.0;0.0;0.0;0.0;1000000000000.0;1.3441160445130294e-10;1000000000000.0;0.0;0.0;;0.0
2025-09-13;0.0;0.0;0.0;0.0;0.0;0.0;1000000000000.0;1.3727347746242616e-10;1000000000000.0;0.0;0.0;;0.0
2025-09-14;0.0;0.0;0.0;0.0;0.0;0.0;1000000000000.0;1.3673746202128422e-10;1000000000000.0;0.0;0.0;;0.0
